_id,year,county,hospital,oshpdid,system,type of report,performance measure,# of adverse events,# of cases,risk-adjusted rate,hospital ratings,latitude,longitude
83,2017,Alameda,San Leandro Hospital,106013619,Alameda Health System,IMI,Acute Stroke Ischemic,0.0,39.0,0.0,As Expected,37.71364,-122.14
84,2017,Alameda,San Leandro Hospital,106013619,Alameda Health System,IMI,Heart Failure,3.0,226.0,1.6,As Expected,37.71364,-122.14
87,2017,Alameda,San Leandro Hospital,106013619,Alameda Health System,IMI,GI Hemorrhage,1.0,73.0,1.0,As Expected,37.71364,-122.14
88,2017,Alameda,San Leandro Hospital,106013619,Alameda Health System,IMI,AMI,1.0,12.0,8.0,As Expected,37.71364,-122.14
89,2017,Alameda,San Leandro Hospital,106013619,Alameda Health System,IMI,Hip Fracture,0.0,25.0,0.0,As Expected,37.71364,-122.14
90,2017,Alameda,San Leandro Hospital,106013619,Alameda Health System,IMI,Carotid Endarterectomy,0.0,18.0,0.0,As Expected,37.71364,-122.14
92,2017,Alameda,San Leandro Hospital,106013619,Alameda Health System,IMI,Acute Stroke,0.0,40.0,0.0,As Expected,37.71364,-122.14
93,2017,Alameda,Stanford Health Care Tri-Valley,106014050,Independent/Other,IMI,Carotid Endarterectomy,0.0,10.0,0.0,As Expected,37.69206,-121.88
94,2017,Alameda,Stanford Health Care Tri-Valley,106014050,Independent/Other,IMI,Acute Stroke,3.0,63.0,11.5,As Expected,37.69206,-121.88
95,2017,Alameda,Stanford Health Care Tri-Valley,106014050,Independent/Other,IMI,Hip Fracture,0.0,87.0,0.0,As Expected,37.69206,-121.88
96,2017,Alameda,Stanford Health Care Tri-Valley,106014050,Independent/Other,IMI,AMI,15.0,160.0,9.1,As Expected,37.69206,-121.88
97,2017,Alameda,Stanford Health Care Tri-Valley,106014050,Independent/Other,IMI,Pneumonia,6.0,157.0,3.8,As Expected,37.69206,-121.88
98,2017,Alameda,Stanford Health Care Tri-Valley,106014050,Independent/Other,IMI,Heart Failure,6.0,285.0,1.7,As Expected,37.69206,-121.88
99,2017,Alameda,Stanford Health Care Tri-Valley,106014050,Independent/Other,IMI,Acute Stroke Ischemic,2.0,59.0,5.5,As Expected,37.69206,-121.88
100,2017,Alameda,Stanford Health Care Tri-Valley,106014050,Independent/Other,IMI,Acute Stroke Hemorrhagic,1.0,3.0,49.6,As Expected,37.69206,-121.88
101,2017,Alameda,Stanford Health Care Tri-Valley,106014050,Independent/Other,IMI,GI Hemorrhage,2.0,143.0,1.3,As Expected,37.69206,-121.88
104,2017,Alameda,Stanford Health Care Tri-Valley,106014050,Independent/Other,CABG,Isolated CABG Operative Mor,0.0,34.0,0.0,As Expected,37.69,-121.88
105,2017,Alameda,Stanford Health Care Tri-Valley,106014050,Independent/Other,IMI,PCI,10.0,133.0,8.7,Worse,37.69206,-121.88
106,2017,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Kaiser Foundation Hospitals,IMI,Heart Failure,5.0,140.0,2.1,As Expected,37.55055,-121.974
107,2017,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Kaiser Foundation Hospitals,IMI,GI Hemorrhage,4.0,82.0,5.7,As Expected,37.55055,-121.974
109,2017,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Kaiser Foundation Hospitals,IMI,PCI,1.0,33.0,2.9,As Expected,37.55055,-121.974
110,2017,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Kaiser Foundation Hospitals,IMI,Pneumonia,3.0,76.0,2.8,As Expected,37.55055,-121.974
111,2017,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Kaiser Foundation Hospitals,IMI,Acute Stroke Hemorrhagic,3.0,17.0,16.1,As Expected,37.55055,-121.974
112,2017,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Kaiser Foundation Hospitals,IMI,AMI,4.0,68.0,4.8,As Expected,37.55055,-121.974
113,2017,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Kaiser Foundation Hospitals,IMI,Acute Stroke Subarachnoid,2.0,6.0,17.7,As Expected,37.55055,-121.974
114,2017,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Kaiser Foundation Hospitals,IMI,Acute Stroke Ischemic,6.0,84.0,5.2,As Expected,37.55055,-121.974
116,2017,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Kaiser Foundation Hospitals,IMI,Acute Stroke,11.0,107.0,8.1,As Expected,37.55055,-121.974
117,2017,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Kaiser Foundation Hospitals,IMI,Hip Fracture,1.0,68.0,1.5,As Expected,37.55055,-121.974
118,2017,Alameda,Eden Medical Center,106014233,Sutter Health,IMI,Heart Failure,9.0,267.0,2.8,As Expected,37.69837,-122.087
119,2017,Alameda,Eden Medical Center,106014233,Sutter Health,IMI,GI Hemorrhage,6.0,180.0,2.8,As Expected,37.69837,-122.087
120,2017,Alameda,Eden Medical Center,106014233,Sutter Health,IMI,AMI,5.0,40.0,7.3,As Expected,37.69837,-122.087
121,2017,Alameda,Eden Medical Center,106014233,Sutter Health,IMI,Carotid Endarterectomy,0.0,19.0,0.0,As Expected,37.69837,-122.087
122,2017,Alameda,Eden Medical Center,106014233,Sutter Health,IMI,Acute Stroke Ischemic,36.0,373.0,4.9,As Expected,37.69837,-122.087
123,2017,Alameda,Eden Medical Center,106014233,Sutter Health,IMI,Hip Fracture,5.0,126.0,2.6,As Expected,37.69837,-122.087
124,2017,Alameda,Eden Medical Center,106014233,Sutter Health,IMI,Acute Stroke Subarachnoid,20.0,78.0,21.2,As Expected,37.69837,-122.087
125,2017,Alameda,Eden Medical Center,106014233,Sutter Health,IMI,Pneumonia,3.0,105.0,1.8,As Expected,37.69837,-122.087
127,2017,Alameda,Eden Medical Center,106014233,Sutter Health,IMI,Acute Stroke,88.0,569.0,8.7,As Expected,37.69837,-122.087
129,2017,Alameda,Eden Medical Center,106014233,Sutter Health,IMI,Acute Stroke Hemorrhagic,32.0,118.0,20.4,As Expected,37.69837,-122.087
130,2017,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Kaiser Foundation Hospitals,IMI,Carotid Endarterectomy,0.0,10.0,0.0,As Expected,37.82402,-122.257
131,2017,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Kaiser Foundation Hospitals,IMI,Hip Fracture,2.0,173.0,1.8,As Expected,37.82402,-122.257
132,2017,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Kaiser Foundation Hospitals,IMI,GI Hemorrhage,7.0,356.0,2.2,As Expected,37.82402,-122.257
133,2017,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Kaiser Foundation Hospitals,IMI,AMI,19.0,236.0,6.5,As Expected,37.82402,-122.257
134,2017,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Kaiser Foundation Hospitals,IMI,Acute Stroke Hemorrhagic,25.0,98.0,25.7,As Expected,37.82402,-122.257
135,2017,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Kaiser Foundation Hospitals,IMI,Pneumonia,8.0,189.0,3.0,As Expected,37.82402,-122.257
136,2017,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Kaiser Foundation Hospitals,IMI,PCI,2.0,76.0,3.6,As Expected,37.82402,-122.257
137,2017,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Kaiser Foundation Hospitals,IMI,Pancreatic Resection,1.0,89.0,1.7,As Expected,37.82402,-122.257
138,2017,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Kaiser Foundation Hospitals,IMI,Acute Stroke,46.0,509.0,8.9,As Expected,37.82402,-122.257
139,2017,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Kaiser Foundation Hospitals,IMI,Acute Stroke Ischemic,19.0,403.0,4.1,As Expected,37.82402,-122.257
140,2017,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Kaiser Foundation Hospitals,IMI,Heart Failure,20.0,866.0,2.0,As Expected,37.82402,-122.257
141,2017,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Kaiser Foundation Hospitals,IMI,Acute Stroke Subarachnoid,2.0,8.0,13.8,As Expected,37.82402,-122.257
143,2017,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Kaiser Foundation Hospitals,IMI,Acute Stroke Ischemic,12.0,170.0,5.6,As Expected,37.70611,-122.169
144,2017,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Kaiser Foundation Hospitals,IMI,Heart Failure,15.0,309.0,3.5,As Expected,37.70611,-122.169
145,2017,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Kaiser Foundation Hospitals,IMI,AMI,6.0,47.0,6.3,As Expected,37.70611,-122.169
146,2017,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Kaiser Foundation Hospitals,IMI,GI Hemorrhage,3.0,157.0,2.0,As Expected,37.70611,-122.169
147,2017,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Kaiser Foundation Hospitals,IMI,Carotid Endarterectomy,0.0,21.0,0.0,As Expected,37.70611,-122.169
148,2017,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Kaiser Foundation Hospitals,IMI,Acute Stroke,17.0,217.0,8.6,As Expected,37.70611,-122.169
149,2017,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Kaiser Foundation Hospitals,IMI,Pneumonia,4.0,129.0,1.9,As Expected,37.70611,-122.169
150,2017,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Kaiser Foundation Hospitals,IMI,Hip Fracture,1.0,116.0,1.0,As Expected,37.70611,-122.169
152,2017,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Kaiser Foundation Hospitals,IMI,Acute Stroke Hemorrhagic,5.0,44.0,16.8,As Expected,37.70611,-122.169
153,2017,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Kaiser Foundation Hospitals,IMI,Acute Stroke Subarachnoid,0.0,3.0,0.0,As Expected,37.70611,-122.169
154,2017,Amador,Sutter Amador Hospital,106034002,Sutter Health,IMI,GI Hemorrhage,0.0,60.0,0.0,As Expected,38.34743,-120.772
155,2017,Amador,Sutter Amador Hospital,106034002,Sutter Health,IMI,Heart Failure,3.0,109.0,3.0,As Expected,38.34743,-120.772
156,2017,Amador,Sutter Amador Hospital,106034002,Sutter Health,IMI,Hip Fracture,1.0,48.0,1.6,As Expected,38.34743,-120.772
157,2017,Amador,Sutter Amador Hospital,106034002,Sutter Health,IMI,AMI,2.0,6.0,7.6,As Expected,38.34743,-120.772
160,2017,Amador,Sutter Amador Hospital,106034002,Sutter Health,IMI,Acute Stroke,4.0,73.0,5.9,As Expected,38.34743,-120.772
162,2017,Amador,Sutter Amador Hospital,106034002,Sutter Health,IMI,Acute Stroke Hemorrhagic,2.0,8.0,23.1,As Expected,38.34743,-120.772
164,2017,Amador,Sutter Amador Hospital,106034002,Sutter Health,IMI,Pneumonia,2.0,55.0,3.7,As Expected,38.34743,-120.772
165,2017,Amador,Sutter Amador Hospital,106034002,Sutter Health,IMI,Acute Stroke Ischemic,2.0,64.0,2.4,As Expected,38.34743,-120.772
169,2017,Butte,Orchard Hospital,106040802,Independent/Other,IMI,Heart Failure,0.0,17.0,0.0,As Expected,39.36701,-121.689
171,2017,Butte,Orchard Hospital,106040802,Independent/Other,IMI,GI Hemorrhage,0.0,3.0,0.0,As Expected,39.36701,-121.689
172,2017,Butte,Orchard Hospital,106040802,Independent/Other,IMI,Pneumonia,0.0,21.0,0.0,As Expected,39.36701,-121.689
178,2017,Butte,ADVENTIST HEALTH FEATHER RIVER,106040875,Adventist Health Systems,IMI,GI Hemorrhage,6.0,116.0,4.5,As Expected,39.75743,-121.572
179,2017,Butte,ADVENTIST HEALTH FEATHER RIVER,106040875,Adventist Health Systems,IMI,Carotid Endarterectomy,0.0,12.0,0.0,As Expected,39.75743,-121.572
181,2017,Butte,ADVENTIST HEALTH FEATHER RIVER,106040875,Adventist Health Systems,IMI,Acute Stroke Hemorrhagic,2.0,4.0,29.4,As Expected,39.75743,-121.572
184,2017,Butte,ADVENTIST HEALTH FEATHER RIVER,106040875,Adventist Health Systems,IMI,Acute Stroke Ischemic,2.0,90.0,2.3,As Expected,39.75743,-121.572
185,2017,Butte,ADVENTIST HEALTH FEATHER RIVER,106040875,Adventist Health Systems,IMI,Heart Failure,5.0,180.0,1.7,As Expected,39.75743,-121.572
186,2017,Butte,ADVENTIST HEALTH FEATHER RIVER,106040875,Adventist Health Systems,IMI,AMI,5.0,32.0,7.0,As Expected,39.75743,-121.572
187,2017,Butte,ADVENTIST HEALTH FEATHER RIVER,106040875,Adventist Health Systems,IMI,Hip Fracture,0.0,68.0,0.0,As Expected,39.75743,-121.572
188,2017,Butte,ADVENTIST HEALTH FEATHER RIVER,106040875,Adventist Health Systems,IMI,Acute Stroke,4.0,94.0,6.3,As Expected,39.75743,-121.572
189,2017,Butte,ADVENTIST HEALTH FEATHER RIVER,106040875,Adventist Health Systems,IMI,Pneumonia,2.0,159.0,0.9,As Expected,39.75743,-121.572
191,2017,Butte,Oroville Hospital,106040937,Independent/Other,IMI,Acute Stroke Ischemic,4.0,165.0,2.0,Better,39.50485,-121.542
192,2017,Butte,Oroville Hospital,106040937,Independent/Other,IMI,Pneumonia,0.0,11.0,0.0,As Expected,39.50485,-121.542
194,2017,Butte,Oroville Hospital,106040937,Independent/Other,IMI,Acute Stroke Hemorrhagic,3.0,6.0,25.2,As Expected,39.50485,-121.542
195,2017,Butte,Oroville Hospital,106040937,Independent/Other,IMI,Heart Failure,4.0,475.0,0.8,Better,39.50485,-121.542
196,2017,Butte,Oroville Hospital,106040937,Independent/Other,IMI,AMI,1.0,32.0,1.8,As Expected,39.50485,-121.542
197,2017,Butte,Oroville Hospital,106040937,Independent/Other,IMI,Hip Fracture,2.0,73.0,1.3,As Expected,39.50485,-121.542
199,2017,Butte,Oroville Hospital,106040937,Independent/Other,IMI,Acute Stroke,7.0,171.0,5.1,As Expected,39.50485,-121.542
200,2017,Butte,Oroville Hospital,106040937,Independent/Other,IMI,GI Hemorrhage,3.0,186.0,1.4,As Expected,39.50485,-121.542
201,2017,Butte,Oroville Hospital,106040937,Independent/Other,IMI,Carotid Endarterectomy,0.0,17.0,0.0,As Expected,39.50485,-121.542
203,2017,Butte,Enloe Medical Center– Esplanade,106040962,Independent/Other,IMI,Acute Stroke,35.0,373.0,9.3,As Expected,39.74226,-121.849
204,2017,Butte,Enloe Medical Center– Esplanade,106040962,Independent/Other,IMI,Acute Stroke Subarachnoid,2.0,3.0,28.9,As Expected,39.74226,-121.849
205,2017,Butte,Enloe Medical Center– Esplanade,106040962,Independent/Other,IMI,Acute Stroke Ischemic,14.0,289.0,4.5,As Expected,39.74226,-121.849
206,2017,Butte,Enloe Medical Center– Esplanade,106040962,Independent/Other,IMI,Hip Fracture,3.0,188.0,1.7,As Expected,39.74226,-121.849
207,2017,Butte,Enloe Medical Center– Esplanade,106040962,Independent/Other,IMI,Carotid Endarterectomy,0.0,86.0,0.0,As Expected,39.74226,-121.849
208,2017,Butte,Enloe Medical Center– Esplanade,106040962,Independent/Other,IMI,Heart Failure,26.0,700.0,3.1,As Expected,39.74226,-121.849
209,2017,Butte,Enloe Medical Center– Esplanade,106040962,Independent/Other,IMI,Pneumonia,11.0,358.0,3.4,As Expected,39.74226,-121.849
210,2017,Butte,Enloe Medical Center– Esplanade,106040962,Independent/Other,CABG,Isolated CABG Operative Mor,3.0,155.0,2.1,As Expected,39.74,-121.85
211,2017,Butte,Enloe Medical Center– Esplanade,106040962,Independent/Other,IMI,AMI,18.0,398.0,5.5,As Expected,39.74226,-121.849
212,2017,Butte,Enloe Medical Center– Esplanade,106040962,Independent/Other,IMI,PCI,5.0,263.0,2.7,As Expected,39.74226,-121.849
213,2017,Butte,Enloe Medical Center– Esplanade,106040962,Independent/Other,IMI,GI Hemorrhage,5.0,376.0,1.5,As Expected,39.74226,-121.849
214,2017,Butte,Enloe Medical Center– Esplanade,106040962,Independent/Other,IMI,Acute Stroke Hemorrhagic,19.0,81.0,23.5,As Expected,39.74226,-121.849
218,2017,Calaveras,Mark Twain Medical Center,106050932,Dignity Health,IMI,Acute Stroke,1.0,22.0,22.9,As Expected,38.19057,-120.67
219,2017,Calaveras,Mark Twain Medical Center,106050932,Dignity Health,IMI,Pneumonia,0.0,50.0,0.0,As Expected,38.19057,-120.67
220,2017,Calaveras,Mark Twain Medical Center,106050932,Dignity Health,IMI,Heart Failure,2.0,39.0,2.7,As Expected,38.19057,-120.67
222,2017,Calaveras,Mark Twain Medical Center,106050932,Dignity Health,IMI,AMI,0.0,3.0,0.0,As Expected,38.19057,-120.67
223,2017,Calaveras,Mark Twain Medical Center,106050932,Dignity Health,IMI,GI Hemorrhage,0.0,8.0,0.0,As Expected,38.19057,-120.67
225,2017,Calaveras,Mark Twain Medical Center,106050932,Dignity Health,IMI,Acute Stroke Ischemic,0.0,21.0,0.0,As Expected,38.19057,-120.67
226,2017,Calaveras,Mark Twain Medical Center,106050932,Dignity Health,IMI,Hip Fracture,0.0,25.0,0.0,As Expected,38.19057,-120.67
